RPC,Description,Lithology,Vp,Vs,Rho
104856,KIAMICHI REMOLD 2,sandstone,5917.0,3665.0,2117.0
104830,KIAMICHI FORMA. 1,sandstone,3190.8,2075.4,2066.0
104692,NAVAJO ARCO 3,sandstone,3579.0,2140.8,2084.0
104624,FERRON 82-3 1677.5,sandstone,4467.6,2631.0,2395.0
104593,FERRON 82-3 1677.5,sandstone,4411.5,2813.7,2428.0
104594,FERRON 82-3 1677.5,sandstone,4443.3,2846.1,2428.0
104616,FERRON 82-3 1677.5,sandstone,4600.5,2742.0,2428.0
104585,FERRON 82-3 1677.5,sandstone,4017.0,2631.0,2428.0
104609,FERRON 82-3 1677.5,sandstone,4451.4,2679.6,2428.0
104755,NAVAJO ARCO REMOL 1,sandstone,3292.8,1617.6,2160.0
104824,KIAMICHI FORMA. 4,sandstone,3053.1,1626.0,2108.0
104673,NAVAJO ARCO 2,sandstone,3495.0,1887.0,2162.0
104591,FERRON 82-3 1677.5,sandstone,4395.9,2839.8,2428.0
104586,FERRON 82-3 1677.5,sandstone,4259.4,2763.3,2428.0
104645,NAVAJO ARCO 2,sandstone,3084.9,1917.3,2162.0
104690,NAVAJO ARCO 3,sandstone,3435.9,2052.3,2084.0
104709,NAVAJO ARCO 3,sandstone,3674.4,2178.3,2084.0
104679,NAVAJO ARCO 2,sandstone,3585.9,2067.3,2162.0
104587,FERRON 82-3 1677.5,sandstone,4274.1,2757.3,2428.0
104656,NAVAJO ARCO 2,sandstone,3423.9,2150.7,2162.0
104646,NAVAJO ARCO 2,sandstone,3069.6,1848.9,2162.0
104592,FERRON 82-3 1677.5,sandstone,4411.5,2820.3,2428.0
104842,KIAMICHI FORMA. 1,sandstone,3365.7,1923.3,2066.0
104658,NAVAJO ARCO 2,sandstone,3456.9,2106.9,2162.0
104623,FERRON 82-3 1677.5,sandstone,4388.1,2606.1,2395.0
104590,FERRON 82-3 1677.5,sandstone,4244.7,2769.6,2428.0
104672,NAVAJO ARCO 2,sandstone,3451.5,1868.4,2162.0
104852,KIAMICHI REMOLD 2,sandstone,5232.0,3083.0,2117.0
104668,NAVAJO ARCO 2,sandstone,3437.1,1860.0,2162.0
104829,KIAMICHI FORMA. 1,sandstone,3142.8,2031.9,2066.0
104837,KIAMICHI FORMA. 1,sandstone,3316.8,1890.0,2066.0
104855,KIAMICHI REMOLD 2,sandstone,4788.0,2954.0,2117.0
104698,NAVAJO ARCO 3,sandstone,3652.8,2099.1,2084.0
