Lithology,Vp,Rho
limestone,1937.34,1.876191703835136
limestone,1905.18,1.9679525274000305
limestone,2001.97,1.9228885002809044
limestone,2443.24,2.20105956690789
limestone,2647.97,2.2096957663330565
limestone,2368.11,2.026037918598145
limestone,2583.33,2.0314093228807777
limestone,2400.26,1.9976937779719808
limestone,2690.94,2.02860981572804
limestone,2798.56,2.118014868817414
limestone,2970.8,2.07440588064088
limestone,2820.21,2.1203624378838795
limestone,3100.07,2.106708294382774
limestone,3002.95,2.158831257368452
limestone,3121.39,2.1146566860608162
limestone,2712.6,2.1267259114332924
limestone,2970.8,2.1988290648308846
limestone,2572.51,2.100783481746341
limestone,2927.82,2.155226520582823
limestone,2583.33,2.1301500914569425
limestone,2820.21,2.1770755546261182
limestone,2583.33,2.106114951718036
limestone,2959.97,2.1021938959099273
limestone,3315.29,2.321636871813108
limestone,3250.66,2.295873132700296
limestone,3584.32,2.2366657663609013
limestone,2594.16,2.1462314123625075
limestone,2916.99,2.140627188305713
limestone,2755.58,2.156514408356918
limestone,2884.84,2.081426345537059
limestone,3218.5,2.266914434758849
limestone,3530.51,2.3137795562888948
limestone,3433.73,2.360789158129267
limestone,2615.49,2.1763007912200543
limestone,3100.07,2.1278011896666698
limestone,2970.8,2.2824298571825876
limestone,3250.66,2.308863575044947
limestone,3379.92,2.426670866115425
limestone,2066.6,1.7789897881448604
limestone,2109.58,1.7359671774873366
limestone,2109.58,1.8088813390085425
limestone,2228.02,1.7771922538190155
limestone,2271.0,1.7781484599990829
limestone,2217.19,1.8079159311245532
limestone,2185.04,1.8444978532645495
limestone,2249.67,1.8431709828774587
limestone,2228.02,1.867243889561042
limestone,2314.3,1.8673116508101384
limestone,2260.5,1.9175085295788001
limestone,2260.5,1.7929096498168369
limestone,2238.85,1.8190421944973005
limestone,2303.48,1.7586840058716215
limestone,2238.85,1.7733808367553274
limestone,2368.11,1.859925772505787
limestone,2389.44,1.820244234509604
limestone,2432.74,1.879570600723516
limestone,2454.07,1.8453920469982799
limestone,2260.5,1.8554360575286886
limestone,2325.13,1.8918537897597185
limestone,2249.67,1.8545816032778824
limestone,2325.13,1.7972687858465801
limestone,2400.26,1.820533777671972
limestone,2475.72,1.9053132185331132
limestone,2260.5,1.8651871132442377
limestone,2335.63,1.86600559518212
limestone,2303.48,1.827486841951916
limestone,2346.46,1.7766836697411295
limestone,2271.0,1.9523179423593664
limestone,2389.44,1.90549111645501
limestone,2325.13,1.9780624029848528
limestone,2152.89,1.844746455551886
limestone,2335.63,1.8530880858054384
limestone,2142.06,1.8086157894946955
limestone,2271.0,1.9188206375420542
limestone,2432.74,1.9994378701945092
limestone,2249.67,1.890855465144231
limestone,2346.46,1.9138918747274647
limestone,2325.13,1.923099388143549
limestone,2389.44,1.8804287877764372
limestone,2626.31,1.795487018310748
limestone,2647.97,1.8159650386205528
limestone,2518.7,1.8889507585210057
limestone,2615.49,1.9179269727667336
limestone,2335.63,1.9282965235488292
limestone,2454.07,1.899358344079311
limestone,2314.3,1.8691278349648
limestone,2368.11,1.8919079889650925
limestone,2604.99,1.9533210129232876
limestone,2701.77,1.913605566553185
limestone,2561.68,1.821900391123168
limestone,2497.05,1.8444358887225332
limestone,2658.79,1.9980617607537
limestone,2712.6,1.9138808172205193
limestone,2776.9,1.9502757849023
limestone,2820.21,1.9067762995546709
limestone,2723.1,1.9424251154198975
limestone,2680.12,1.9380798299024937
limestone,2346.46,1.9574030986349222
limestone,2421.92,1.9563057803348378
limestone,2712.6,1.9749898492894484
limestone,2766.4,1.9217420183800806
limestone,2368.11,1.9754860235160163
limestone,2518.7,1.9839844067505608
limestone,2604.99,2.0691143403316477
limestone,2766.4,2.010942686258984
limestone,2432.74,1.978690581024753
limestone,2583.33,1.9215956007971455
limestone,2615.49,1.956478526271151
limestone,2798.56,2.0334675953738706
limestone,2518.7,2.0461827387930187
limestone,2723.1,2.045403991024211
limestone,2680.12,1.9649207713371029
limestone,2895.34,1.9610774671662308
limestone,3024.61,2.1012318352649357
limestone,3121.39,2.135472641678767
limestone,2690.94,2.090470023436836
limestone,2874.02,2.1605141048682235
limestone,3143.04,2.160763468787789
dolomite,4363.52,2.3488187812641392
dolomite,5511.81,2.5853851963762473
dolomite,4658.79,2.4170198304306365
dolomite,5282.15,2.398426414647153
dolomite,4593.18,2.384660427940716
dolomite,5577.43,2.569110252604717
dolomite,4691.6,2.4377578912239466
dolomite,5774.28,2.6584377707690643
dolomite,4002.62,2.351091917625563
dolomite,5741.47,2.683870514078854
dolomite,4625.98,2.341509324660873
dolomite,4855.64,2.3752448147939567
dolomite,5249.34,2.511970615846343
dolomite,5249.34,2.5586457708064345
dolomite,4232.28,2.368122900955925
dolomite,4691.6,2.562781774315638
dolomite,4822.83,2.597043207836065
dolomite,5347.77,2.550419682476625
dolomite,5577.43,2.570820194782801
dolomite,5249.34,2.437545487186435
